zipcode,medianIncome
73949,58309
73960,-
75001,77598
75002,119301
75006,79672
75007,105969
75009,153658
75010,98567
75013,149549
75019,136679
75020,64734
75021,61198
75022,179892
75023,101246
75024,114623
75025,134740
75028,143712
75032,132756
75033,165218
75034,104323
75035,154811
75036,137902
75038,69678
75039,100474
75040,70592
75041,62744
75042,60118
75043,72079
75044,84016
75048,126792
75050,68421
75051,49485
75052,84055
75054,154412
75056,111589
75057,73935
75058,113194
75060,67479
75061,58236
75062,68692
75063,106909
75065,95403
75067,75224
75068,119464
75069,74967
75070,101188
75071,124763
75072,147321
75074,78441
75075,89081
75076,71910
75077,120254
75078,178254
75080,86341
75081,88161
75082,108869
75087,124583
75088,101995
75089,119332
75090,56323
75092,62741
75093,121360
75094,152461
75098,112198
75101,50455
75102,65850
75103,67878
75104,84760
75105,-
75109,73021
75110,51048
75114,96484
75115,81895
75116,57245
75117,93373
75119,77225
75124,76013
75125,63684
75126,101456
75127,58330
75132,-
75134,65114
75135,88369
75137,81160
75140,44091
75141,45213
75142,75072
75143,64178
75144,60154
75146,68001
75147,49167
75148,57917
75149,64858
75150,66265
75152,81772
75153,95066
75154,95035
75155,56912
75156,52464
75157,-
75158,88125
75159,69301
75160,67102
75161,74932
75163,54741
75164,52736
75165,83970
75166,123653
75167,117254
75169,56445
75172,63003
75173,96636
75180,57827
75181,107734
75182,152632
75189,114068
75201,102891
75202,113843
75203,43376
75204,88142
75205,180698
75206,84784
75207,88655
75208,75699
75209,116477
75210,26822
75211,53614
75212,47089
75214,115304
75215,39486
75216,33889
75217,49841
75218,104026
75219,86826
75220,56849
75223,66875
75224,50061
75225,180181
75226,67612
75227,54743
75228,55848
75229,117083
75230,109589
75231,50603
75232,52739
75233,61750
75234,85105
75235,57744
75236,45739
75237,38552
75238,71352
75240,51607
75241,45356
75243,47319
75244,109440
75246,42429
75247,18750
75248,98584
75249,79162
75251,85294
75252,77147
75253,51642
75254,70901
75261,-
75270,-
75287,60256
75390,-
75401,51882
75402,78277
75407,87839
75409,89444
75410,77778
75411,47857
75412,62000
75413,-
75414,78776
75415,115446
75416,70000
75417,53370
75418,58790
75420,59826
75421,57688
75422,65093
75423,55288
75424,85364
75426,39203
75428,51205
75429,-
75431,42201
75432,64286
75433,80116
75434,-
75435,37321
75436,75179
75437,83611
75438,92083
75439,61250
75440,61127
75441,16474
75442,81839
75446,55744
75447,101875
75448,80098
75449,62500
75450,-
75451,47902
75452,69911
75453,98518
75454,137903
75455,57120
75457,70192
75459,71389
75460,43884
75462,66884
75468,69832
75469,79018
75470,97581
75471,53221
75472,56941
75473,80699
75474,62461
75475,-
75476,56250
75477,80375
75478,54688
75479,72368
75480,69005
75481,61000
75482,63312
75486,89750
75487,35729
75488,62303
75489,77273
75490,83516
75491,73988
75492,106806
75493,55625
75494,65955
75495,89781
75496,71250
75497,57368
75501,44064
75503,68977
75550,70192
75551,63929
75554,44630
75555,50579
75556,73214
75558,90244
75559,52983
75560,51394
75561,55288
75562,-
75563,50108
75564,-
75565,19107
75566,62159
75567,59069
75568,50134
75569,41850
75570,64304
75571,51450
75572,41600
75573,64792
75574,70801
75601,60634
75602,54656
75603,58750
75604,66109
75605,73582
75630,38750
75631,80703
75633,62244
75638,53409
75639,32727
75640,80833
75641,42500
75642,-
75643,55000
75644,54579
75645,70315
75647,53016
75650,84531
75651,65030
75652,65905
75654,58839
75656,51676
75657,48848
75658,-
75659,-
75661,56600
75662,64717
75667,68309
75668,48214
75669,81155
75670,37106
75671,-
75672,68853
75680,-
75681,58125
75682,53125
75683,43531
75684,51629
75686,55327
75687,-
75689,95724
75691,81667
75692,60705
75693,92938
75694,-
75701,59107
75702,48485
75703,77858
75704,55967
75705,70850
75706,63477
75707,79764
75708,79864
75709,71013
75711,-
75750,70109
75751,59399
75752,62135
75754,87846
75755,52913
75756,79688
75757,79070
75758,59727
75759,25156
75760,67294
75762,78520
75763,65022
75764,73021
75765,56477
75766,50279
75770,98178
75771,83516
75773,57854
75778,43812
75779,-
75780,64375
75782,-
75783,62410
75784,58750
75785,61815
75788,-
75789,79112
75790,61218
75791,72203
75792,52153
75801,46706
75803,57654
75831,47358
75833,62378
75835,48706
75838,37386
75839,63412
75840,53368
75844,50294
75845,54850
75846,57482
75847,52969
75848,-
75849,43125
75850,-
75851,61310
75852,52768
75853,68750
75855,39337
75856,145096
75858,56591
75859,59698
75860,60995
75861,75528
75862,47377
75865,-
75884,-
75886,-
75901,59350
75903,28554
75904,59444
75925,41328
75926,58375
75928,23718
75929,63454
75930,53472
75931,54931
75932,55804
75933,-
75934,-
75935,52569
75936,65000
75937,80262
75938,47609
75939,45339
75941,56083
75942,-
75943,71500
75944,34667
75946,58125
75948,46157
75949,49577
75951,44141
75954,44750
75956,48125
75959,58542
75960,70156
75961,38547
75962,-
75964,55039
75965,52073
75966,38156
75968,43472
75969,67471
75972,42272
75973,52037
75974,41875
75975,58318
75976,62417
75977,22273
75979,43822
75980,40648
76001,101311
76002,102369
76005,191250
76006,56312
76008,154054
76009,71996
76010,42571
76011,50200
76012,80972
76013,64585
76014,60894
76015,69805
76016,103605
76017,89930
76018,83815
76020,87923
76021,84539
76022,70286
76023,83750
76028,93314
76031,68203
76033,65488
76034,196034
76035,112983
76036,89393
76039,80176
76040,65698
76041,154427
76043,75764
76044,88795
76048,61728
76049,96674
76050,80858
76051,106726
