neighborhood,city,cityID,state,stateID,zipcode,county,neighborhoodID
Atlanta University Center,Atlanta,1840013660,Georgia,GA,30314,Fulton,184001366011100
Hunter Hills,Atlanta,1840013660,Georgia,GA,30314,Fulton,184001366011101
Bankhead,Atlanta,1840013660,Georgia,GA,30318,Fulton,184001366011102
Bankhead,Atlanta,1840013660,Georgia,GA,30314,Fulton,184001366011102
English Avenue,Atlanta,1840013660,Georgia,GA,30318,Fulton,184001366011103
English Avenue,Atlanta,1840013660,Georgia,GA,30314,Fulton,184001366011103
Adair Park,Atlanta,1840013660,Georgia,GA,30310,Fulton,184001366011104
Mechanicsville,Atlanta,1840013660,Georgia,GA,30315,Fulton,184001366011105
Mechanicsville,Atlanta,1840013660,Georgia,GA,30312,Fulton,184001366011105
Capitol Gateway,Atlanta,1840013660,Georgia,GA,30312,Fulton,184001366011106
Grant Park,Atlanta,1840013660,Georgia,GA,30315,Fulton,184001366011107
Grant Park,Atlanta,1840013660,Georgia,GA,30312,Fulton,184001366011107
Hammond Park,Atlanta,1840013660,Georgia,GA,30315,Fulton,184001366011108
Capitol View,Atlanta,1840013660,Georgia,GA,30310,Fulton,184001366011109
High Point,Atlanta,1840013660,Georgia,GA,30315,Fulton,184001366011110
Joyland,Atlanta,1840013660,Georgia,GA,30315,Fulton,184001366011111
Betmar Lavilla,Atlanta,1840013660,Georgia,GA,30315,Fulton,184001366011112
The Villages At Carver,Atlanta,1840013660,Georgia,GA,30315,Fulton,184001366011113
Fort Mcpherson,Atlanta,1840013660,Georgia,GA,30310,Fulton,184001366011114
Venetian Hills,Atlanta,1840013660,Georgia,GA,30310,Fulton,184001366011115
Venetian Hills,Atlanta,1840013660,Georgia,GA,30311,Fulton,184001366011115
Pomona Park,Atlanta,1840013660,Georgia,GA,30311,Fulton,184001366011116
Fort Valley,Atlanta,1840013660,Georgia,GA,30311,Fulton,184001366011117
Greenbriar,Atlanta,1840013660,Georgia,GA,30331,Fulton,184001366011118
Greenbriar,Atlanta,1840013660,Georgia,GA,30311,Fulton,184001366011118
Laurens Valley,Atlanta,1840013660,Georgia,GA,30311,Fulton,184001366011119
Heritage Valley,Atlanta,1840013660,Georgia,GA,30331,Fulton,184001366011120
Ben Hill Acres,Atlanta,1840013660,Georgia,GA,30331,Fulton,184001366011121
