zipID,city,state,streetAddress,zipcode,latitude,longitude,beds,baths,homeType,sqft,acreage,price,priceChange,datePriceChanged,zestimate,rentZestimate,taxAssessedValue,listingType,daysOnZillow,statusText,statusType,isFeaturedListing,isShowcaseListing,brokerName,builderName,newConstructionType,isPremierBuilder,is_newHome,flexFieldText,flexFieldType,url,webURL
351078673,Huffman,TX,"1647 Plan, Woodland Lakes",77336.0,30.030027,-95.112015,3.0,3.0,SINGLE_FAMILY,1647.0,,268990,,,259200.0,2046.0,,New Construction Spec,51,New construction,FOR_SALE,False,False,,Cyrene Homes,BUILDER_PLAN,True,True,Lake breezes,homeInsight,https://www.zillow.com/community/woodland-lakes/351078673_zpid/,"1647-Plan,-Woodland-Lakes-Huffman-TX-77336.0/351078673_zpid/"
28020741,Houston,TX,10407 Royal Oaks Dr,77016.0,29.862747,-95.30264,3.0,1.0,SINGLE_FAMILY,1598.0,0.158,120000,,,113200.0,1961.0,111212.0,For Sale by Agent,8,House for sale,FOR_SALE,False,True,Corcoran Prestige Realty,,,False,,Showcase,showcase,https://www.zillow.com/homedetails/10407-Royal-Oaks-Dr-Houston-TX-77016/28020741_zpid/,10407-Royal-Oaks-Dr-Houston-TX-77016.0/28020741_zpid/
28270108,Houston,TX,8218 Windy Creek Dr,77040.0,29.890194,-95.54476,3.0,2.0,SINGLE_FAMILY,1530.0,0.211,299900,,,289500.0,2284.0,269405.0,For Sale by Agent,17,House for sale,FOR_SALE,False,False,NB Elite Realty,,,False,,High ceilings,homeInsight,https://www.zillow.com/homedetails/8218-Windy-Creek-Dr-Houston-TX-77040/28270108_zpid/,8218-Windy-Creek-Dr-Houston-TX-77040.0/28270108_zpid/
28276236,Houston,TX,13102 Creekside Park Dr,77082.0,29.724209,-95.6198,3.0,3.0,SINGLE_FAMILY,2383.0,0.134,250000,-15000.0,2024-10-02,,2192.0,275666.0,For Sale by Agent,35,House for sale,FOR_SALE,False,False,"Compass RE Texas, LLC - Houston",,,False,,"Price cut: $15,000 (Oct 02)",priceCut,https://www.zillow.com/homedetails/13102-Creekside-Park-Dr-Houston-TX-77082/28276236_zpid/,13102-Creekside-Park-Dr-Houston-TX-77082.0/28276236_zpid/
84020947,Houston,TX,15415 Liberty Prairie Ct,77049.0,29.835371,-95.16417,5.0,4.0,SINGLE_FAMILY,3242.0,0.144,360000,,,350400.0,3009.0,338104.0,For Sale by Agent,12,House for sale,FOR_SALE,False,False,Torres Real Estate Group,,,False,,Beautifully remodeled bathroom,homeInsight,https://www.zillow.com/homedetails/15415-Liberty-Prairie-Ct-Houston-TX-77049/84020947_zpid/,15415-Liberty-Prairie-Ct-Houston-TX-77049.0/84020947_zpid/
28124110,Houston,TX,12646 Westella Dr,77077.0,29.748924,-95.60839,3.0,2.0,SINGLE_FAMILY,1602.0,0.295,199000,,,197300.0,2187.0,333411.0,For Sale by Agent,2,House for sale,FOR_SALE,False,False,Better Homes and Gardens Real Estate Gary Greene - Champions,,,False,,Gas appliances,homeInsight,https://www.zillow.com/homedetails/12646-Westella-Dr-Houston-TX-77077/28124110_zpid/,12646-Westella-Dr-Houston-TX-77077.0/28124110_zpid/
28548998,Houston,TX,14807 Bridle Bend Dr,77084.0,29.859322,-95.63099,4.0,3.0,SINGLE_FAMILY,2864.0,0.299,389000,-10000.0,2024-10-05,377000.0,2491.0,412065.0,For Sale by Agent,18,House for sale,FOR_SALE,False,False,NextHome Realty Center,,,False,,Open: Sat 12-2pm (10/12),openHouse,https://www.zillow.com/homedetails/14807-Bridle-Bend-Dr-Houston-TX-77084/28548998_zpid/,14807-Bridle-Bend-Dr-Houston-TX-77084.0/28548998_zpid/
28189316,Houston,TX,5638 Council Grove Ln,77088.0,29.87603,-95.47182,4.0,3.0,SINGLE_FAMILY,3120.0,0.354,385000,-40000.0,2024-10-02,369100.0,3400.0,533588.0,For Sale by Agent,47,House for sale,FOR_SALE,False,False,Lemon Grove Realty,,,False,,"Price cut: $40,000 (Oct 02)",priceCut,https://www.zillow.com/homedetails/5638-Council-Grove-Ln-Houston-TX-77088/28189316_zpid/,5638-Council-Grove-Ln-Houston-TX-77088.0/28189316_zpid/
28353791,Houston,TX,7206 Holder Forest Cir,77088.0,29.866224,-95.460236,3.0,4.0,SINGLE_FAMILY,3226.0,0.264,440000,,,432200.0,2947.0,387934.0,For Sale by Agent,6,House for sale,FOR_SALE,False,False,Keller Williams Realty Metropolitan,,,False,,Replastered pool,homeInsight,https://www.zillow.com/homedetails/7206-Holder-Forest-Cir-Houston-TX-77088/28353791_zpid/,7206-Holder-Forest-Cir-Houston-TX-77088.0/28353791_zpid/
305345990,Houston,TX,15439 Wandering Creek Trl,77044.0,29.880522,-95.1416,3.0,3.0,SINGLE_FAMILY,2120.0,0.15,300000,,,293500.0,2507.0,298993.0,For Sale by Agent,12,House for sale,FOR_SALE,False,False,Garza International Properties,,,False,,Spacious fenced yard,homeInsight,https://www.zillow.com/homedetails/15439-Wandering-Creek-Trl-Houston-TX-77044/305345990_zpid/,15439-Wandering-Creek-Trl-Houston-TX-77044.0/305345990_zpid/
