"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"860Z200US73949","ZCTA5 73949","58309","17848",
"860Z200US73960","ZCTA5 73960","-","**",
"860Z200US75001","ZCTA5 75001","77598","10453",
"860Z200US75002","ZCTA5 75002","119301","7551",
"860Z200US75006","ZCTA5 75006","79672","5896",
"860Z200US75007","ZCTA5 75007","105969","3510",
"860Z200US75009","ZCTA5 75009","153658","11287",
"860Z200US75010","ZCTA5 75010","98567","3974",
"860Z200US75013","ZCTA5 75013","149549","13737",
"860Z200US75019","ZCTA5 75019","136679","9901",
"860Z200US75020","ZCTA5 75020","64734","4639",
"860Z200US75021","ZCTA5 75021","61198","5020",
"860Z200US75022","ZCTA5 75022","179892","17123",
"860Z200US75023","ZCTA5 75023","101246","4944",
"860Z200US75024","ZCTA5 75024","114623","4152",
"860Z200US75025","ZCTA5 75025","134740","9321",
"860Z200US75028","ZCTA5 75028","143712","9419",
"860Z200US75032","ZCTA5 75032","132756","15521",
"860Z200US75033","ZCTA5 75033","165218","9292",
"860Z200US75034","ZCTA5 75034","104323","6904",
"860Z200US75035","ZCTA5 75035","154811","6225",
"860Z200US75036","ZCTA5 75036","137902","11865",
"860Z200US75038","ZCTA5 75038","69678","6327",
"860Z200US75039","ZCTA5 75039","100474","9421",
"860Z200US75040","ZCTA5 75040","70592","3276",
"860Z200US75041","ZCTA5 75041","62744","9719",
"860Z200US75042","ZCTA5 75042","60118","4956",
"860Z200US75043","ZCTA5 75043","72079","4469",
"860Z200US75044","ZCTA5 75044","84016","5593",
"860Z200US75048","ZCTA5 75048","126792","9887",
"860Z200US75050","ZCTA5 75050","68421","1988",
"860Z200US75051","ZCTA5 75051","49485","2997",
"860Z200US75052","ZCTA5 75052","84055","4221",
"860Z200US75054","ZCTA5 75054","154412","14465",
"860Z200US75056","ZCTA5 75056","111589","7250",
"860Z200US75057","ZCTA5 75057","73935","8963",
"860Z200US75058","ZCTA5 75058","113194","20821",
"860Z200US75060","ZCTA5 75060","67479","3138",
"860Z200US75061","ZCTA5 75061","58236","3046",
"860Z200US75062","ZCTA5 75062","68692","3514",
"860Z200US75063","ZCTA5 75063","106909","6950",
"860Z200US75065","ZCTA5 75065","95403","9855",
"860Z200US75067","ZCTA5 75067","75224","3769",
"860Z200US75068","ZCTA5 75068","119464","8295",
