county,taxRate
Anderson,0.0059
Andrews,0.011
Angelina,0.0064
Aransas,0.004
Archer,0.0068
Armstrong,0.0066
Atascosa,0.0063
Austin,0.0055
Bailey,0.0094
Bandera,0.0072
Bastrop,0.0059
Baylor,0.0089
Bee,0.0089
Bell,0.0059
Bexar,0.0075
Blanco,0.0042
Borden,0.0077
Bosque,0.0053
Bowie,0.0054
Brazoria,0.0044
Brazos,0.0049
Brewster,0.0051
Briscoe,0.0057
Brooks,0.0097
Brown,0.0062
Burleson,0.0064
Burnet,0.0041
Caldwell,0.0078
Calhoun,0.005
Callahan,0.0056
Cameron,0.0041
Camp,0.006
Carson,0.0064
Cass,0.0059
Castro,0.0096
Chambers,0.0054
Cherokee,0.0058
Childress,0.0105
Clay,0.0073
Cochran,0.018
Coke,0.0069
Coleman,0.0127
Collin,0.0027
Collingsworth,0.015
Colorado,0.0052
Comal,0.0036
Comanche,0.0109
Concho,0.0124
Cooke,0.0062
Coryell,0.005
Cottle,0.0079
Crane,0.0149
Crockett,0.0098
Crosby,0.0078
Culberson,0.0047
Dallam,0.006
Dallas,0.0066
Dawson,0.0136
Deaf Smith,0.0092
Delta,0.0091
Denton,0.0024
DeWitt,0.0048
Dickens,0.0085
Dimmit,0.0045
Donley,0.0113
Duval,0.0115
Eastland,0.0059
Ector,0.008
Edwards,0.0071
El Paso,0.0085
Ellis,0.0036
Erath,0.0048
Falls,0.0097
Fannin,0.0059
Fayette,0.0045
Fisher,0.0115
Floyd,0.0073
Foard,0.0093
Fort Bend,0.0045
Franklin,0.0056
Freestone,0.0026
Frio,0.009
Gaines,0.0092
Galveston,0.0055
Garza,0.0076
Gillespie,0.004
Glasscock,0.004
Goliad,0.0081
Gonzales,0.009
Gray,0.009
Grayson,0.0064
Gregg,0.0026
Grimes,0.0053
Guadalupe,0.0038
Hale,0.006
Hall,0.0091
Hamilton,0.0056
Hansford,0.011
Hardeman,0.007
Hardin,0.0058
Harris,0.0064
Harrison,0.0035
Hartley,0.0062
Haskell,0.0079
Hays,0.0045
Hemphill,0.0078
Henderson,0.0062
Hidalgo,0.0077
Hill,0.0063
Hockley,0.0053
Hood,0.0042
Hopkins,0.0087
Houston,0.0054
Howard,0.0075
Hudspeth,0.0073
Hunt,0.0075
Hutchinson,0.0064
Irion,0.0062
Jack,0.0079
Jackson,0.0047
Jasper,0.0066
Jeff Davis,0.0066
Jefferson,0.0036
Jim Hogg,0.0122
Jim Wells,0.0084
Johnson,0.0053
Jones,0.007
Karnes,0.0045
Kaufman,0.0073
Kendall,0.0041
Kenedy,0.0076
Kent,0.0086
Kerr,0.0052
Kimble,0.0071
King,0.0103
Kinney,0.0069
Kleberg,0.0081
Knox,0.012
La Salle,0.0072
Lamar,0.0048
Lamb,0.008
Lampasas,0.007
Lavaca,0.006
Lee,0.0068
Leon,0.0046
Liberty,0.0058
Limestone,0.0077
Lipscomb,0.0069
Live Oak,0.0049
Llano,0.003
Loving,0.0062
Lubbock,0.0047
Lynn,0.0115
Madison,0.0055
Marion,0.0055
Martin,0.0063
Mason,0.0065
Matagorda,0.0074
Maverick,0.0063
McCulloch,0.0065
McLennan,0.0066
McMullen,0.0057
Medina,0.0063
Menard,0.0129
Midland,0.004
Milam,0.007
Mills,0.008
Mitchell,0.0101
Montague,0.0055
Montgomery,0.0064
Moore,0.0081
Morris,0.0062
Motley,0.0081
Nacogdoches,0.0058
Navarro,0.0064
Newton,0.0071
Nolan,0.0057
Nueces,0.0043
Ochiltree,0.0052
Oldham,0.0055
Orange,0.0066
Palo Pinto,0.0071
Panola,0.0089
Parker,0.0062
Parmer,0.0058
Pecos,0.0086
Polk,0.0065
Potter,0.0067
Presidio,0.0064
Rains,0.0064
Randall,0.0041
Reagan,0.0035
Real,0.0054
Red River,0.008
Reeves,0.0051
Refugio,0.0112
Roberts,0.0067
Robertson,0.0049
Rockwall,0.0035
Runnels,0.0069
Rusk,0.0061
Sabine,0.0063
San Augustine,0.0062
San Jacinto,0.0074
San Patricio,0.0058
San Saba,0.0075
Schleicher,0.0165
Scurry,0.0066
Shackelford,0.0077
Shelby,0.0067
Sherman,0.0074
Smith,0.0033
Somervell,0.0074
Starr,0.0124
Stephens,0.0099
Sterling,0.0055
Stonewall,0.017
Sutton,0.0097
Swisher,0.0115
Tarrant,0.0061
Taylor,0.006
Terrell,0.0082
Terry,0.0108
Throckmorton,0.0104
Titus,0.0082
Tom Green,0.0054
Travis,0.0058
Trinity,0.0065
Tyler,0.0097
Upshur,0.006
Upton,0.0042
Uvalde,0.016
Val Verde,0.0052
Van Zandt,0.0062
Victoria,0.0065
Walker,0.0071
Waller,0.0062
Ward,0.0072
Washington,0.0052
Webb,0.0041
Wharton,0.0048
Wheeler,0.0049
Wichita,0.0066
Wilbarger,0.005
Willacy,0.0084
Williamson,0.0047
Wilson,0.0059
Winkler,0.0093
Wise,0.0038
Wood,0.0059
Yoakum,0.0085
Young,0.0075
Zapata,0.0069
Zavala,0.0072
