State,Metro,City,Zipcode
TX,"Houston-The Woodlands-Sugar Land, TX",Katy,77494
NJ,"New York-Newark-Jersey City, NY-NJ-PA",Lakewood,8701
TX,"Houston-The Woodlands-Sugar Land, TX",Katy,77449
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11368
TX,"Houston-The Woodlands-Sugar Land, TX",Houston,77084
TX,"El Paso, TX",El Paso,79936
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11385
TX,"Austin-Round Rock-Georgetown, TX",Pflugerville,78660
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11208
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,90011
TX,"Houston-The Woodlands-Sugar Land, TX",Cypress,77433
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60629
CA,"Los Angeles-Long Beach-Anaheim, CA",Norwalk,90650
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,91331
TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville,37013
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11236
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10467
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11373
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11226
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11207
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Lawrenceville,30044
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,90044
CA,"Riverside-San Bernardino-Ontario, CA",Fontana,92336
CA,"San Francisco-Oakland-Berkeley, CA",Pittsburg,94565
TX,"Houston-The Woodlands-Sugar Land, TX",League City,77573
CA,"Riverside-San Bernardino-Ontario, CA",Fontana,92335
CA,"Los Angeles-Long Beach-Anaheim, CA",Bell,90201
CA,"Los Angeles-Long Beach-Anaheim, CA",Hawthorne,90250
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10025
TX,"Dallas-Fort Worth-Arlington, TX",Grand Prairie,75052
CA,"Los Angeles-Long Beach-Anaheim, CA",Long Beach,90805
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11214
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60618
CA,"Bakersfield, CA",Bakersfield,93307
CA,"Los Angeles-Long Beach-Anaheim, CA",South Gate,90280
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11234
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,91342
CA,"Los Angeles-Long Beach-Anaheim, CA",Westminster,92683
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10314
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11220
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60639
TX,"San Antonio-New Braunfels, TX",San Antonio,78245
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11219
CA,"Riverside-San Bernardino-Ontario, CA",Riverside,92503
TX,"Brownsville-Harlingen, TX",Brownsville,78521
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11206
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11221
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10456
CA,"Riverside-San Bernardino-Ontario, CA",Hesperia,92345
TX,"Houston-The Woodlands-Sugar Land, TX",Sugar Land,77479
CA,"San Diego-Chula Vista-Carlsbad, CA",Chula Vista,91911
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Lawrenceville,30043
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11223
TX,"McAllen-Edinburg-Mission, TX",Edinburg,78542
TX,"Austin-Round Rock-Georgetown, TX",Cedar Park,78613
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11230
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60647
CA,"Oxnard-Thousand Oaks-Ventura, CA",Oxnard,93033
CA,"Santa Cruz-Watsonville, CA",Watsonville,95076
CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego,92154
TX,"Houston-The Woodlands-Sugar Land, TX",Cypress,77429
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10458
CA,"Riverside-San Bernardino-Ontario, CA",Rialto,92376
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cicero,60804
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11377
TX,"El Paso, TX",El Paso,79938
CA,"Los Angeles-Long Beach-Anaheim, CA",Anaheim,92804
CA,"Riverside-San Bernardino-Ontario, CA",Chino,91710
CA,"Fresno, CA",Fresno,93722
CA,"San Francisco-Oakland-Berkeley, CA",San Francisco,94112
WA,"Kennewick-Richland, WA",Pasco,99301
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11235
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60632
TX,"Houston-The Woodlands-Sugar Land, TX",Pearland,77584
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11229
CA,"Sacramento-Roseville-Folsom, CA",Sacramento,95823
TX,"San Antonio-New Braunfels, TX",New Braunfels,78130
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60617
VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Woodbridge,22193
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11233
TX,"Dallas-Fort Worth-Arlington, TX",Dallas,75217
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10453
NC,"Raleigh-Cary, NC",Wake Forest,27587
OK,"Oklahoma City, OK",Yukon,73099
TX,"Houston-The Woodlands-Sugar Land, TX",Spring,77379
HI,"Urban Honolulu, HI",Ewa Beach,96706
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11204
TN,"Clarksville, TN-KY",Clarksville,37042
AZ,"Phoenix-Mesa-Chandler, AZ",Queen Creek,85142
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Suwanee,30024
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10468
TX,"El Paso, TX",Horizon City,79928
CA,"San Jose-Sunnyvale-Santa Clara, CA",Milpitas,95035
CA,"Los Angeles-Long Beach-Anaheim, CA",La Puente,91744
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60608
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11355
CA,"Riverside-San Bernardino-Ontario, CA",Jurupa Valley,92509
TX,"Austin-Round Rock-Georgetown, TX",San Marcos,78666
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11203
CA,"Visalia, CA",Porterville,93257
CA,"Los Angeles-Long Beach-Anaheim, CA",Palmdale,93550
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60625
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10457
KS,"Kansas City, MO-KS",Olathe,66062
CA,"Riverside-San Bernardino-Ontario, CA",Temecula,92592
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60623
CA,"Sacramento-Roseville-Folsom, CA",Folsom,95630
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10452
NC,"Charlotte-Concord-Gastonia, NC-SC",Charlotte,28269
CA,"Riverside-San Bernardino-Ontario, CA",Eastvale,92880
CA,"San Francisco-Oakland-Berkeley, CA",Hayward,94544
CA,"Los Angeles-Long Beach-Anaheim, CA",Bellflower,90706
TX,"McAllen-Edinburg-Mission, TX",Pharr,78577
TX,"Austin-Round Rock-Georgetown, TX",Leander,78641
CA,"Los Angeles-Long Beach-Anaheim, CA",Lancaster,93535
TX,"Houston-The Woodlands-Sugar Land, TX",Missouri City,77459
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10469
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10029
CA,"Los Angeles-Long Beach-Anaheim, CA",Santa Ana,92704
CA,"Visalia, CA",Tulare,93274
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11218
TX,"Dallas-Fort Worth-Arlington, TX",Frisco,75035
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11212
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10462
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,91335
NC,"Raleigh-Cary, NC",Raleigh,27610
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60634
GA,"Atlanta-Sandy Springs-Alpharetta, GA",,30349
CA,"Vallejo, CA",Fairfield,94533
NC,"Charlotte-Concord-Gastonia, NC-SC",Concord,28027
FL,"Orlando-Kissimmee-Sanford, FL",Winter Garden,34787
NM,"Albuquerque, NM",Albuquerque,87121
TX,"Dallas-Fort Worth-Arlington, TX",Fort Worth,76244
TX,"Houston-The Woodlands-Sugar Land, TX",Houston,77083
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10002
VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach,23464
TX,"Dallas-Fort Worth-Arlington, TX",Mansfield,76063
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10466
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11375
WA,"Seattle-Tacoma-Bellevue, WA",Redmond,98052
FL,"Port St. Lucie, FL",Port Saint Lucie,34953
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Pembroke Pines,33024
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",,33411
TX,"Dallas-Fort Worth-Arlington, TX",Allen,75002
TX,"El Paso, TX",El Paso,79912
CA,"Los Angeles-Long Beach-Anaheim, CA",Lancaster,93536
CA,"Riverside-San Bernardino-Ontario, CA",Chino Hills,91709
CA,"San Diego-Chula Vista-Carlsbad, CA",Chula Vista,91910
WA,"Seattle-Tacoma-Bellevue, WA",Bothell,98012
CA,"San Francisco-Oakland-Berkeley, CA",Brentwood,94513
TX,"McAllen-Edinburg-Mission, TX",Mission,78572
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11691
TX,"Dallas-Fort Worth-Arlington, TX",Cockrell Hill,75211
AZ,"Phoenix-Mesa-Chandler, AZ",Chandler,85225
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Cumming,30040
CA,"Fresno, CA",Fresno,93727
NV,"Las Vegas-Henderson-Paradise, NV",Las Vegas,89108
CA,"Los Angeles-Long Beach-Anaheim, CA",Baldwin Park,91706
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,90003
VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Woodbridge,22191
CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego,92126
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,19120
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Cumming,30041
TX,"Dallas-Fort Worth-Arlington, TX",Burleson,76028
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Loganville,30052
CO,"Denver-Aurora-Lakewood, CO",Aurora,80013
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11215
TX,"Dallas-Fort Worth-Arlington, TX",Dallas,75228
DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,20002
MO,"St. Louis, MO-IL",Saint Peters,63376
TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville,37211
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Waukegan,60085
TX,"Dallas-Fort Worth-Arlington, TX",Fort Worth,76179
TX,"Houston-The Woodlands-Sugar Land, TX",Richmond,77407
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60657
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Lilburn,30047
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miramar,33025
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10463
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Fort Lauderdale,33311
HI,"Urban Honolulu, HI",Waipahu,96797
ID,"Boise City, ID",Meridian,83646
CA,"Riverside-San Bernardino-Ontario, CA",Moreno Valley,92553
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11209
UT,"Provo-Orem, UT",Lehi,84043
NY,"Ithaca, NY",Ithaca,14850
CA,"Bakersfield, CA",Bakersfield,93306
CO,"Denver-Aurora-Lakewood, CO",Centennial,80015
TX,"Houston-The Woodlands-Sugar Land, TX",Houston,77095
CA,"Hanford-Corcoran, CA",Hanford,93230
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Powder Springs,30127
NC,"Charlotte-Concord-Gastonia, NC-SC",Charlotte,28277
TX,"College Station-Bryan, TX",College Station,77845
NV,"Las Vegas-Henderson-Paradise, NV",North Las Vegas,89031
MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Silver Spring,20906
IN,"Chicago-Naperville-Elgin, IL-IN-WI",Crown Point,46307
CA,"Sacramento-Roseville-Folsom, CA",Roseville,95747
CA,"San Francisco-Oakland-Berkeley, CA",Fremont,94536
CA,"Riverside-San Bernardino-Ontario, CA",Murrieta,92563
OH,"Cincinnati, OH-KY-IN",Hamilton,45011
OR,"Portland-Vancouver-Hillsboro, OR-WA",Portland,97229
CA,"Los Angeles-Long Beach-Anaheim, CA",Huntington Park,90255
CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego,92105
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60614
CA,"San Diego-Chula Vista-Carlsbad, CA",El Cajon,92021
CA,"Riverside-San Bernardino-Ontario, CA",Rancho Cucamonga,91730
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60620
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miramar,33023
CA,"San Francisco-Oakland-Berkeley, CA",San Francisco,94110
AZ,"Yuma, AZ",Yuma,85364
NJ,"New York-Newark-Jersey City, NY-NJ-PA",Passaic,7055
TX,"Houston-The Woodlands-Sugar Land, TX",,77450
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11213
IN,"Lafayette-West Lafayette, IN",West Lafayette,47906
CA,"San Francisco-Oakland-Berkeley, CA",Antioch,94509
